GroupID,GroupName,ModelId,ModelName
3326,Trontek,1284,BMS_Trontek_6148(19S LFP)_Default_2023_EV_AT
3033,vidyuttech_API,1239,eRickshaw_MLR Auto_Eltra_City_SEG+Exicom_2023_EV_AT
5146,ElectrifiMobility,1869,BMS_Inverted_51V105AH_JBD 500_2025_EV_AT
3902,EVM_secondarydevice,1638,Car_Citroen_C3 Aircross_Default_2024_EV_AT
2023,Greenfuel,1682,BMS_Greenfuel_GF1_JBD500_2024_EV_AT
5571,shizenenergy,1955,BMS_Shizenenergy_83.2V600AH_Udan 250_2025_EV_AT
1822,Amplus,1297,Car_BYD_Atto 3_EV_2023_EV_AT
3060,BikeBazaar,1887,eBike_BGauss_D15 Pro_Default_2025_EV_AT
4315,DriveO,1786,Car_Tata_Xpress -T_Ziptron_2024_EV_AT
3902,EVM_secondarydevice,2026,Car_Maruti_Alto k10_Default_2025_P_AT
2595,la5.ic,1750,Bike_Honda_Activa 6G_Default_2024_P_AT
2595,la5.ic,462,Car_Toyota_Innova Crysta_Default_2018_D_MT
3516,LA5.IC.HARDWARE,1152,BMS_Stefen_48V_Default_2022_EV_AT
3868,Metafin,1550,VFD_INVT_GD100_No Genset_2023_EV_AT
5048,Gogoro,1597,eBike_Gogoro_GX250_PUX_2024_EV_AT
2595,la5.ic,1312,Bike_Bajaj_Pulsar 250N_Default_2023_P_MT
2818,MBSI_PVT_LTD,1334,Bike_Hero_Xpulse_200_2023_P_AT
4750,One_World_Mobility,1289,eBike_BGauss_C12_Default_2022_EV_AT
2541,Upgrid_Mobility,1485,BMS_iPower_iPower_Daly 250_2023_EV_AT
2541,Upgrid_Mobility,1204,BMS_Greenfuel_48V_V3_2022_EV_AT
2023,Greenfuel,1844,BMS_Greenfuel_GF6_JBD500_2025_EV_AT
3809,Madikeri_Police,979,Car_Toyota_Innova Crysta_GX 7 STR_2021_D_MT
4588,Neuron,1497,BMS_Neuron_52 V_Battery Smart 500K_2023_EV_AT
165,RoyalBrothers,1470,Bike_Triumph_Speed 400_Default_2022_P_MT
2595,la5.ic,1567,Car_Kia_Carens G_1.5_2024_P_MT
2595,la5.ic,1325,Car_Maruti_Ertiga_Default_2023_P_MT
2595,la5.ic,1786,Car_Tata_Xpress -T_Ziptron_2024_EV_AT
3044,SUN_MOBILITY,1125,BMS_Battery_TEST_Default_2021_EV_AT
2595,la5.ic,905,Car_Honda_Brio_Default_2015_P_MT
3516,LA5.IC.HARDWARE,1097,Bike_Royal Enfield_Meteor 350 steller_Default_2020_P_MT
2541,Upgrid_Mobility,1949,BMS_iPower_51.2V105Ah_BS_IP_SOC_2025_EV_AT
4410,EOLTest_Pass_2024,1376,BMS_Livguard_BMS_White_Knight_14S_48V_60A_V4_2023_EV_-
4012,Ipower,1890,BMS_iPower_51.2V105Ah_JBD 500_2025_EV_AT
3157,Perpetuity_Capital,229,Car_Tata_Sumo_Default_2016_D_MT
3963,Tata_Demo,1449,Truck_Eicher_pro 3019_Default_2023_P_MT
4169,Bounce_EV,1962,eBike_Bounce_Infinity_SunMobility E3 D1_2025_EV_AT
3902,EVM_secondarydevice,1108,Car_Volkswagen_Tiguan_Default_2021_P_MT
2595,la5.ic,562,eBike_HEROelectric_Optima_Eco_2019_EV_AT
3157,Perpetuity_Capital,1383,eRickshaw_Piaggio_Ape E-Xtra FX_EV_2023_EV_AT
4222,Sparrow_Mobility,2055,Car_Maruti_Dzire_Default_2025_CNGP_MT
3902,EVM_secondarydevice,1356,Car_Volkswagen_Vento_HIGHLNE_2021_P_AT
3666,Houstan,1125,BMS_Battery_TEST_Default_2021_EV_AT
7803,KakkarSmart,2039,BMS_Safeli_51.2V106AH_JBD250_2025_EV_AT
2595,la5.ic,1851,eBike_Ampere_Magnus_MT80-SM_2025_EV_AT
5170,shortterm_storage,1376,BMS_Livguard_BMS_White_Knight_14S_48V_60A_V4_2023_EV_-
4357,TaSki,1181,Car_Tata_Xpress -T_Ziptron_2022_EV_AT
1717,IndusGo,1879,Car_Toyota_Innova Hycross_Default_2022_P_AT
2595,la5.ic,1414,Car_Volkswagen_Polo_Default_2021_P_AT
3032,Lithion,1246,BMS_Lithion_Battery_48V_2022_EV_AT
3157,Perpetuity_Capital,734,Car_Mahindra_Xylo_D42WD_2016_D_MT
6170,Quick_Ride,1481,Car_BYD E6_BYD E6_Default_2023_EV_AMT
295,HWY Rider,302,Bike_Bajaj_Pulsar NS 160_Default_2018_P_MT
2818,MBSI_PVT_LTD,47,Bike_Honda_Activa_Default_2017_P_MT
3653,Noori_Travels,991,Car_Maruti_Spresso_Default_2021_P_MT
28480,ORIX_CORPORATION_LIMITED,1325,Car_Maruti_Ertiga_Default_2023_P_MT
3326,Trontek,1196,BMS_Trontek_51V_Default_2022_EV_AT
7751,Akasa,1546,BMS_Trontek_51V_Battery Smart 500K Protocol_2024_EV_AT
2818,MBSI_PVT_LTD,1328,Bike_Honda_Honda CB 350_Default_2023_P_AT
4546,Stride,1551,eRickshaw_Bajaj_Maxima_Cargo_2024_EV_AT
27943,AMU_leasing,1245,Car_MG_zs EV_Exclusive_2022_EV_AT
3902,EVM_secondarydevice,1324,Car_Maruti_Swift_Default_2022_P_MT
2595,la5.ic,820,Car_Maruti_Ignis_Default_2020_P_MT
4222,Sparrow_Mobility,832,Car_Hyundai_Aura_Default_2020_P_MT
3963,Tata_Demo,1304,Truck_Tata_LPT 4223_CRE BSIV_2018_D_MT
2595,la5.ic,1270,BMS_Battrixx_48V_Default_2023_EV_AT
2595,la5.ic,1155,BMS_Trontek_64V_Default_2022_EV_AT
5146,ElectrifiMobility,1481,Car_BYD E6_BYD E6_Default_2023_EV_AMT
2595,la5.ic,1642,eBike_Gemopai_Ryder_High Speed_2024_EV_AT
5909,LAF_International_Deployment,1740,Bike_Yamaha_crux_Default_2023_P_MT
3015,MBSI_LA5,707,Bike_Honda_Activa 5G_Default_2018_P_AT
3060,BikeBazaar,1838,eBike_BGauss_ C12 I MAX_Default_2025_EV_AT
4169,Bounce_EV,1326,Bike_Bounce_Infinity_Default_2023_EV_AT
3902,EVM_secondarydevice,1257,Car_Skoda_slavia_Default_2022_D_MT
2457,IndusGo_SecondaryDevice,461,Car_Maruti_Ignis_Default_2018_D_MT
2595,la5.ic,1309,Bike_Bajaj_Avenger Cruise 220_Default_2023_P_MT
3653,Noori_Travels,1459,Car_Maruti_Wagonr_Default_2023_CNG_MT
4295,SatyaSai_Travels,1181,Car_Tata_Xpress -T_Ziptron_2022_EV_AT
